Video timestamp (seconds),Clock time from GMeet,Video timestamp HH:MM:SS,Clock time (HH:MM:SS since 5:55 PM),Notes
3,5:55 PM,00:03,0:00:00,
43,5:56 PM,00:43,0:01:00,
97,5:57 PM,01:37,0:02:00,
152,5:58 PM,02:32,0:03:00,
205,5:59 PM,03:25,0:04:00,
259,6:00 PM,04:19,0:05:00,
314,6:01 PM,05:14,0:06:00,
367,6:02 PM,06:07,0:07:00,
421,6:03 PM,07:01,0:08:00,
474,6:04 PM,07:54,0:09:00,
528,6:05 PM,08:48,0:10:00,
582,6:06 PM,09:42,0:11:00,
636,6:07 PM,10:36,0:12:00,
690,6:08 PM,11:30,0:13:00,
744,6:09 PM,12:24,0:14:00,Sped-up portion
757,6:10 PM,12:37,0:15:00,Sped-up portion
763,6:11 PM,12:43,0:16:00,Sped-up portion
767,6:12 PM,12:47,0:17:00,Sped-up portion
771,6:13 PM,12:51,0:18:00,Sped-up portion
778,6:14 PM,12:58,0:19:00,Sped-up portion
782,6:15 PM,13:02,0:20:00,Sped-up portion
786,6:16 PM,13:06,0:21:00,Sped-up portion
790,6:17 PM,13:10,0:22:00,Sped-up portion
795,6:18 PM,13:15,0:23:00,Sped-up portion
807,6:19 PM,13:27,0:24:00,Sped-up portion
848,6:20 PM,14:08,0:25:00,
901,6:21 PM,15:01,0:26:00,
954,6:22 PM,15:54,0:27:00,
1007,6:23 PM,16:47,0:28:00,
1060,6:24 PM,17:40,0:29:00,
1114,6:25 PM,18:34,0:30:00,
1167,6:26 PM,19:27,0:31:00,
1220,6:27 PM,20:20,0:32:00,
1273,6:28 PM,21:13,0:33:00,
1326,6:29 PM,22:06,0:34:00,
1379,6:30 PM,22:59,0:35:00,
1433,6:31 PM,23:53,0:36:00,
1485,6:32 PM,24:45,0:37:00,
1539,6:33 PM,25:39,0:38:00,
1592,6:34 PM,26:32,0:39:00,
1644,6:35 PM,27:24,0:40:00,
1696,6:36 PM,28:16,0:41:00,
1750,6:37 PM,29:10,0:42:00,
1803,6:38 PM,30:03,0:43:00,
1856,6:39 PM,30:56,0:44:00,
1907,6:40 PM,31:47,0:45:00,
1961,6:41 PM,32:41,0:46:00,
2014,6:42 PM,33:34,0:47:00,
2066,6:43 PM,34:26,0:48:00,
2118,6:44 PM,35:18,0:49:00,
2171,6:45 PM,36:11,0:50:00,
2224,6:46 PM,37:04,0:51:00,
2277,6:47 PM,37:57,0:52:00,
2330,6:48 PM,38:50,0:53:00,
2382,6:49 PM,39:42,0:54:00,
2435,6:50 PM,40:35,0:55:00,
2487,6:51 PM,41:27,0:56:00,
2540,6:52 PM,42:20,0:57:00,
2592,6:53 PM,43:12,0:58:00,
2644,6:54 PM,44:04,0:59:00,
2698,6:55 PM,44:58,1:00:00,
2751,6:56 PM,45:51,1:01:00,
2805,6:57 PM,46:45,1:02:00,
2858,6:58 PM,47:38,1:03:00,
2910,6:59 PM,48:30,1:04:00,
2962,7:00 PM,49:22,1:05:00,
3016,7:01 PM,50:16,1:06:00,
3067,7:02 PM,51:07,1:07:00,
3120,7:03 PM,52:00,1:08:00,
3173,7:04 PM,52:53,1:09:00,
3226,7:05 PM,53:46,1:10:00,
3279,7:06 PM,54:39,1:11:00,
3332,7:07 PM,55:32,1:12:00,
3385,7:08 PM,56:25,1:13:00,
3437,7:09 PM,57:17,1:14:00,
3489,7:10 PM,58:09,1:15:00,
3543,7:11 PM,59:03,1:16:00,Extrapolated from linear regression
